Ni2+ 2p5 3d9

C4h crystal field symmetry
10dq = 1.500 eV
Delta 1 = 0.100 eV
Delta 3 = 0.700 eV

States absolute energy (eV)
0- -6.412 -6.407 -5.823 -5.203 -4.651 -4.366 -3.886 -3.568 -3.446 -2.505 9.398 10.656
1- -6.294 -6.039 -5.774 -4.964 -4.638 -4.045 -4.007 -3.701 -2.963 -2.554 9.387 9.912 10.580
-1- -6.294 -6.039 -5.774 -4.964 -4.638 -4.045 -4.007 -3.701 -2.963 -2.554 9.387 9.912 10.580
2- -6.432 -6.253 -5.665 -5.568 -5.267 -4.923 -4.294 -4.040 -3.025 -2.701 9.141 9.206 9.919 10.086

Ground state energy = -6.4318 eV

Symmetry  Energy(eV)
   2-       0.0000
   0-       0.0202
   0-       0.0248
   -1-       0.1374
   1-       0.1374
   2-       0.1791
   -1-       0.3924
   1-       0.3924
   0-       0.6089
   -1-       0.6577
   1-       0.6577
   2-       0.7670
   2-       0.8641
   2-       1.1648
   0-       1.2290
   -1-       1.4676
   1-       1.4676
   2-       1.5091
   0-       1.7806
   -1-       1.7943
   1-       1.7943
   0-       2.0662
   2-       2.1383
   -1-       2.3869
   1-       2.3869
   2-       2.3914
   -1-       2.4248
   1-       2.4248
   0-       2.5457
   -1-       2.7311
   1-       2.7311
   0-       2.8640
   0-       2.9858
   2-       3.4064
   -1-       3.4691
   1-       3.4691
   2-       3.7304
   -1-       3.8779
   1-       3.8779
   0-       3.9270
   2-       15.5730
   2-       15.6377
   -1-       15.8192
   1-       15.8192
   0-       15.8302
   -1-       16.3437
   1-       16.3437
   2-       16.3511
   2-       16.5178
   -1-       17.0119
   1-       17.0119
   0-       17.0881
