Ni2+ 2p6 3d8

C4h crystal field symmetry
10dq = 1.500 eV
Delta 1 = 0.100 eV
Delta 3 = 0.700 eV

States absolute energy (eV)
0+ -1.710 -1.700 -1.049 -0.853 -0.560 -0.545 0.658 0.744 0.785 1.053 5.372
1+ -2.687 -1.661 -1.184 -0.879 -0.530 0.191 0.784 1.033 1.355 2.006
-1+ -2.687 -1.661 -1.184 -0.879 -0.530 0.191 0.784 1.033 1.355 2.006
2+ -2.687 -1.633 -1.622 -1.197 -0.753 -0.515 -0.486 0.646 1.004 1.032

Ground state energy = -2.6875 eV

Symmetry  Energy(eV)
   2+       0.0000
   -1+       0.0009
   1+       0.0009
   0+       0.9773
   0+       0.9877
   -1+       1.0266
   1+       1.0266
   2+       1.0549
   2+       1.0656
   2+       1.4909
   -1+       1.5039
   1+       1.5039
   0+       1.6381
   -1+       1.8088
   1+       1.8088
   0+       1.8347
   2+       1.9344
   0+       2.1275
   0+       2.1426
   -1+       2.1577
   1+       2.1577
   2+       2.1725
   2+       2.2013
   -1+       2.8787
   1+       2.8787
   2+       3.3332
   0+       3.3456
   0+       3.4316
   -1+       3.4719
   1+       3.4719
   0+       3.4723
   2+       3.6913
   2+       3.7191
   -1+       3.7203
   1+       3.7203
   0+       3.7401
   -1+       4.0420
   1+       4.0420
   -1+       4.6939
   1+       4.6939
   0+       8.0593
