Ni2+ 2p6 3d8

C4h crystal field symmetry
10dq = 1.000 eV
Delta 1 = 0.000 eV
Delta 3 = 0.000 eV

States absolute energy (eV)
0+ -1.455 -1.441 -0.819 -0.766 -0.705 -0.464 0.697 0.829 0.880 0.904 5.263
1+ -2.428 -1.441 -1.402 -0.766 -0.680 0.413 0.850 0.880 1.119 1.886
-1+ -2.428 -1.441 -1.402 -0.766 -0.680 0.413 0.850 0.880 1.119 1.886
2+ -2.428 -1.455 -1.402 -1.385 -0.705 -0.680 -0.464 0.413 0.829 0.850

Ground state energy = -2.4280 eV

Symmetry  Energy(eV)
   -1+       0.0000
   1+       0.0000
   2+       0.0000
   0+       0.9731
   2+       0.9731
   -1+       0.9868
   0+       0.9868
   1+       0.9868
   -1+       1.0265
   1+       1.0265
   2+       1.0265
   2+       1.0425
   0+       1.6095
   -1+       1.6617
   0+       1.6617
   1+       1.6617
   0+       1.7233
   2+       1.7233
   -1+       1.7483
   1+       1.7483
   2+       1.7483
   0+       1.9636
   2+       1.9636
   -1+       2.8408
   1+       2.8408
   2+       2.8408
   0+       3.1249
   0+       3.2569
   2+       3.2569
   -1+       3.2778
   1+       3.2778
   2+       3.2778
   -1+       3.3077
   0+       3.3077
   1+       3.3077
   0+       3.3324
   -1+       3.5470
   1+       3.5470
   -1+       4.3138
   1+       4.3138
   0+       7.6915
